condition,case_id,project_name,size_group,size_label_ru,fr_count,nfr_count,repeat_id,run_status,schema_validity,fr_coverage,orphan_uc_rate,duplicate_uc_rate,trace_reference_integrity,trace_completeness,fr_activity_coverage,activity_structural_validity,mermaid_generation_success,end_to_end_success,repair_attempts,trace_manifest_validity,uc_element_trace_coverage,activity_element_trace_coverage,unsupported_trace_rate,blocking_error_classes,stability_multi_run,latency_ms,token_usage,cost_usd,actor_precision,actor_recall,actor_f1,uc_precision,uc_recall,uc_f1,milestone_precision,milestone_recall,milestone_f1,branch_precision,branch_recall,branch_f1,trace_precision,trace_recall,trace_f1,hallucination_rate,semantic_composite,metric_status,semantic_similarity_backend,llm_calls,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,use_case_count,user_story_count,system_story_count,activity_diagram_count,activity_node_count,activity_edge_count,trace_link_count,output_bytes,output_sha256,semantic_output_available,technical_failure,source_results,error_type,message
B1_ONESHOT,SCALE-001,Запись на услуги салона,G1_SMALL,небольшие,6,13,1,success,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,0.0,0,,38879.764,,,1.0,1.0,1.0,1.0,1.0,1.0,0.36666666666666664,0.9166666666666666,0.5238095238095238,0.0,1.0,0.0,1.0,1.0,1.0,0.4791666666666667,0.730952380952381,automatic_slot_match_candidate,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,6032,15114,21146,0.0199464,6,6,6,6,51,49,278,146545,02e5debc1f8c1436cf6dc02f4c6a4f012a4834ca1bdca6e672d9cb4a9d485a53,1,0,artifacts/size_scaling_runs/size-final-g1-b1-full-r1-2026-09-16/results.json,,
B1_ONESHOT,SCALE-002,Бронирование общего оборудования,G1_SMALL,небольшие,7,13,1,success,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,0.0,0,,44400.093,,,1.0,0.6666666666666666,0.8,1.0,1.0,1.0,0.25,0.8181818181818182,0.38297872340425526,0.14285714285714285,1.0,0.25,1.0,1.0,1.0,0.5689655172413793,0.7032446808510637,automatic_slot_match_candidate,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,6125,16926,23051,0.022148699999999997,6,6,6,6,48,49,328,174032,bc149201ad75c21b27bf36af9ffd4a00458560a7d257212a62dbe4e50cee92e6,1,0,artifacts/size_scaling_runs/size-final-g1-b1-full-r1-2026-09-16/results.json,,
B1_ONESHOT,SCALE-003,Предзаказ и самовывоз из кафе,G1_SMALL,небольшие,8,13,1,success,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,0.0,0,,53077.741,,,1.0,0.6666666666666666,0.8,1.0,1.0,1.0,0.23333333333333334,0.875,0.3684210526315789,0.0,1.0,0.0,1.0,1.0,1.0,0.5535714285714286,0.6621052631578948,automatic_slot_match_candidate,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,6368,20261,26629,0.0262236,8,8,8,8,64,64,293,171273,d8052b29e7e54598176c8d79eb5e50e7a4a68f9c09c069a9f6117c2c21bb4e2b,1,0,artifacts/size_scaling_runs/size-final-g1-b1-full-r1-2026-09-16/results.json,,
B1_ONESHOT,SCALE-004,Учёт счетов фрилансера,G1_SMALL,небольшие,9,14,1,success,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,0.0,0,,81202.194,,,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.20588235294117646,0.9333333333333333,0.3373493975903614,0.0,0.0,0.0,1.0,1.0,1.0,0.6764705882352942,0.6343373493975903,automatic_slot_match_candidate,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,6870,31063,37933,0.0393366,9,9,18,9,94,101,522,275176,fb1a37f7708038e801e727fa8d87acc285140d71dc4c27188697ab4ebfa0c161,1,0,artifacts/size_scaling_runs/size-final-g1-b1-full-r1-2026-09-16/results.json,,
B1_ONESHOT,SCALE-005,Доска обратной связи от клиентов,G1_SMALL,небольшие,10,14,1,success,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,0.0,0,,68094.447,,,1.0,1.0,1.0,1.0,1.0,1.0,0.2903225806451613,1.0,0.45000000000000007,0.08333333333333333,0.3333333333333333,0.13333333333333333,0.8181818181818182,0.9,0.8571428571428572,0.59375,0.7039285714285716,automatic_slot_match_candidate,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,6767,26182,32949,0.033448500000000006,8,8,16,8,83,87,401,228925,066cee2dc97a28a1c65abe62f7974b483e75db4ed5d5eed0116b53deb1a4cb36,1,0,artifacts/size_scaling_runs/size-final-g1-b1-full-r1-2026-09-16/results.json,,
FULL,SCALE-001,Запись на услуги салона,G1_SMALL,небольшие,6,13,1,success,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,0.0,0,,94518.295,,,1.0,1.0,1.0,1.0,1.0,1.0,0.391304347826087,0.75,0.5142857142857143,0.0,1.0,0.0,1.0,1.0,1.0,0.4883720930232558,0.7285714285714286,automatic_slot_match_candidate,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,17,72953,29768,102721,0.057607500000000006,5,6,6,5,47,46,220,148703,926391e36feec422b46ba2a86f8d7d8ef14823b67ea9e672525aad15d0a5567c,1,0,artifacts/size_scaling_runs/size-final-g1-b1-full-r1-2026-09-16/results.json,,
FULL,SCALE-002,Бронирование общего оборудования,G1_SMALL,небольшие,7,13,1,success,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6,1.0,1.0,1.0,0.0,0,,136655.403,,,1.0,0.6666666666666666,0.8,1.0,1.0,1.0,0.19230769230769232,0.9090909090909091,0.31746031746031744,0.1,1.0,0.18181818181818182,1.0,1.0,1.0,0.6623376623376623,0.6766378066378067,automatic_slot_match_candidate,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,20,98465,44590,143055,0.08304749999999997,6,6,6,6,64,68,337,214467,ec60300edad077231967474933871ded27c3a53fd638a8367a590a45d82f1999,1,0,artifacts/size_scaling_runs/size-final-g1-b1-full-r1-2026-09-16/results.json,,
FULL,SCALE-003,Предзаказ и самовывоз из кафе,G1_SMALL,небольшие,8,13,1,success,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0,1.0,1.0,0.0,0,,61094.301,,,1.0,0.6666666666666666,0.8,1.0,1.0,1.0,0.3684210526315789,0.875,0.5185185185185185,0.0,1.0,0.0,1.0,1.0,1.0,0.45714285714285713,0.6996296296296296,automatic_slot_match_candidate,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,8,47591,20498,68089,0.0388749000000001,2,8,10,2,29,29,167,109342,d8942df2f57daf9e6fecf1c7730a892a2d74cd8908df6c65354b308c77ea8a7a,1,0,artifacts/size_scaling_runs/size-final-g1-b1-full-r1-2026-09-16/results.json,,
FULL,SCALE-004,Учёт счетов фрилансера,G1_SMALL,небольшие,9,14,1,success,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0,1.0,0.0,0,,250885.504,,,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.22641509433962265,0.8,0.35294117647058826,0.06666666666666667,0.3333333333333333,0.1111111111111111,1.0,1.0,1.0,0.632183908045977,0.6549019607843137,automatic_slot_match_candidate,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,30,164971,83252,248223,0.1493936999999999,9,9,17,9,100,102,419,306443,64b7b0a5511b204e735031acdacaee93f816d30c3c6b951fe34ad7928ca08b83,1,0,artifacts/size_scaling_runs/size-final-g1-b1-full-r1-2026-09-16/results.json,,
FULL,SCALE-005,Доска обратной связи от клиентов,G1_SMALL,небольшие,10,14,1,success,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,9,1.0,1.0,1.0,0.0,0,,176060.048,,,1.0,1.0,1.0,1.0,1.0,1.0,0.43243243243243246,0.8888888888888888,0.5818181818181818,0.125,0.3333333333333333,0.18181818181818182,0.8181818181818182,0.9,0.8571428571428572,0.44776119402985076,0.7441558441558441,automatic_slot_match_candidate,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,27,128277,56073,184350,0.1057707,8,8,13,8,71,69,294,220531,181eabb062f6a1975a9eda2fa6fe20bf90b62c45b8d2e43e3eab20a520ec4ee0,1,0,artifacts/size_scaling_runs/size-final-g1-b1-full-r1-2026-09-16/results.json,,
B1_ONESHOT,SCALE-006,Запись в клинику и лист ожидания,G2_GROWING,увеличенные,12,14,1,success,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,0.0,0,,88497.012,,,0.75,0.75,0.75,1.0,1.0,1.0,0.288135593220339,0.85,0.43037974683544306,0.06666666666666667,1.0,0.125,1.0,1.0,1.0,0.5643564356435643,0.6888449367088607,automatic_slot_match_candidate,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,7262,34452,41714,0.043521,11,11,11,11,112,118,560,294901,9f0062603c79b461dcd89ac003c597f7fdc0d0db87c822b330635c01d9ee97fc,1,0,artifacts/size_scaling_runs/size-final-g2-b1-full-r1-2026-09-16/results.json,,
B1_ONESHOT,SCALE-007,Воронка B2B-лидов,G2_GROWING,увеличенные,14,14,1,success,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,0.0,0,,73877.288,,,1.0,1.0,1.0,1.0,1.0,1.0,0.3076923076923077,0.6896551724137931,0.4255319148936171,0.07692307692307693,0.3333333333333333,0.125,0.9375,1.0,0.967741935483871,0.5272727272727272,0.7186813658201786,automatic_slot_match_candidate,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,7816,27996,35812,0.03594000000000001,12,12,12,12,90,91,492,264817,fdeb74b9b853430017c2452877127edacfb781e995d6a4e17206b725092805dc,1,0,artifacts/size_scaling_runs/size-final-g2-b1-full-r1-2026-09-16/results.json,,
