activity_diagram_count,activity_edge_count,activity_element_trace_coverage,activity_node_count,activity_structural_validity,blocking_error_classes,case_id,completion_tokens,condition,cost_usd,duplicate_uc_rate,end_to_end_success,estimated_cost_usd,fr_count,fr_coverage,latency_ms,llm_calls,mermaid_generation_success,nfr_count,orphan_uc_rate,output_bytes,output_sha256,project_name,prompt_tokens,repair_attempts,repeat_id,run_status,schema_validity,size_group,size_label_ru,stability_multi_run,system_story_count,token_usage,total_tokens,trace_completeness,trace_link_count,trace_reference_integrity,uc_element_trace_coverage,unsupported_trace_rate,use_case_count,user_story_count
1,7,1.0,8,1.0,0,SCALE-001,0,B0_RULE,,0.0,1.0,0.0,6,1.0,1.384,0,1.0,13,0.0,42381,bcc39ef15f8d2d1218216c8080f24a8eb2bfd96d1a418df33b39b66ac7dd2750,Запись на услуги салона,0,0,1,success,1.0,G1_SMALL,небольшие,,1,,0,1.0,59,1.0,1.0,0.0,1,1
1,7,1.0,8,1.0,0,SCALE-001,0,B0_RULE,,0.0,1.0,0.0,6,1.0,1.096,0,1.0,13,0.0,42381,bcc39ef15f8d2d1218216c8080f24a8eb2bfd96d1a418df33b39b66ac7dd2750,Запись на услуги салона,0,0,2,success,1.0,G1_SMALL,небольшие,,1,,0,1.0,59,1.0,1.0,0.0,1,1
1,7,1.0,8,1.0,0,SCALE-001,0,B0_RULE,,0.0,1.0,0.0,6,1.0,0.757,0,1.0,13,0.0,42381,bcc39ef15f8d2d1218216c8080f24a8eb2bfd96d1a418df33b39b66ac7dd2750,Запись на услуги салона,0,0,3,success,1.0,G1_SMALL,небольшие,,1,,0,1.0,59,1.0,1.0,0.0,1,1
1,8,1.0,9,1.0,0,SCALE-002,0,B0_RULE,,0.0,1.0,0.0,7,1.0,1.163,0,1.0,13,0.0,47062,9a06f35a804d7aa406c150dd172162e63639a9da3d4100cddf24b69871aed96c,Бронирование общего оборудования,0,0,1,success,1.0,G1_SMALL,небольшие,,1,,0,1.0,66,1.0,1.0,0.0,1,1
1,8,1.0,9,1.0,0,SCALE-002,0,B0_RULE,,0.0,1.0,0.0,7,1.0,0.767,0,1.0,13,0.0,47062,9a06f35a804d7aa406c150dd172162e63639a9da3d4100cddf24b69871aed96c,Бронирование общего оборудования,0,0,2,success,1.0,G1_SMALL,небольшие,,1,,0,1.0,66,1.0,1.0,0.0,1,1
1,8,1.0,9,1.0,0,SCALE-002,0,B0_RULE,,0.0,1.0,0.0,7,1.0,0.816,0,1.0,13,0.0,47062,9a06f35a804d7aa406c150dd172162e63639a9da3d4100cddf24b69871aed96c,Бронирование общего оборудования,0,0,3,success,1.0,G1_SMALL,небольшие,,1,,0,1.0,66,1.0,1.0,0.0,1,1
1,9,1.0,10,1.0,0,SCALE-003,0,B0_RULE,,0.0,1.0,0.0,8,1.0,0.76,0,1.0,13,0.0,49557,4f9a3a707ac6da653bb4276933a630039844339e79915342c1d0f0ae613cdb20,Предзаказ и самовывоз из кафе,0,0,1,success,1.0,G1_SMALL,небольшие,,1,,0,1.0,73,1.0,1.0,0.0,1,1
1,9,1.0,10,1.0,0,SCALE-003,0,B0_RULE,,0.0,1.0,0.0,8,1.0,0.748,0,1.0,13,0.0,49557,4f9a3a707ac6da653bb4276933a630039844339e79915342c1d0f0ae613cdb20,Предзаказ и самовывоз из кафе,0,0,2,success,1.0,G1_SMALL,небольшие,,1,,0,1.0,73,1.0,1.0,0.0,1,1
1,9,1.0,10,1.0,0,SCALE-003,0,B0_RULE,,0.0,1.0,0.0,8,1.0,0.806,0,1.0,13,0.0,49557,4f9a3a707ac6da653bb4276933a630039844339e79915342c1d0f0ae613cdb20,Предзаказ и самовывоз из кафе,0,0,3,success,1.0,G1_SMALL,небольшие,,1,,0,1.0,73,1.0,1.0,0.0,1,1
1,10,1.0,11,1.0,0,SCALE-004,0,B0_RULE,,0.0,1.0,0.0,9,1.0,0.889,0,1.0,14,0.0,57895,5c6301f2d7f90fabbb5202cd7ebac1ff7b92adb4a401219d9d91357036688438,Учёт счетов фрилансера,0,0,1,success,1.0,G1_SMALL,небольшие,,1,,0,1.0,81,1.0,1.0,0.0,1,1
